,timestamp,gfx,gFy,gFz,wx,wy,wz,I,devicemodeDescription,devicemode
43,0.88,10.8499994278,-10.5799999237,-4.38000011444,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
44,0.9,11.1300001144,-9.8499994278,-4.32999992371,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
45,0.92,10.9099998474,-6.36999988556,-3.08999991417,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
46,0.94,10.4200000763,-8.98999977112,-2.75,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
47,0.96,9.5999994278,-9.57999992371,-2.99000000954,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
48,0.98,8.93999958038,-8.26999950409,-3.19999980927,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
49,1.0,9.19999980927,-6.71000003815,-3.51999998093,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
50,1.02,9.88000011444,-6.48000001907,-3.91999983788,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
51,1.04,9.88000011444,-6.48000001907,-3.91999983788,0.0399999991059,0.439999997616,1.67999994755,51,swing,1
52,1.06,10.9399995804,-7.84999990463,-4.30999994278,0.5,-0.659999966621,-1.19999992847,51,swing,1
53,1.08,11.2199993134,-7.98999977112,-3.91999983788,0.5,-0.659999966621,-1.19999992847,51,swing,1
54,1.1,11.1099996567,-8.26999950409,-3.02999997139,0.5,-0.659999966621,-1.19999992847,51,swing,1
55,1.12,10.4200000763,-8.23999977112,-2.1099998951,0.5,-0.659999966621,-1.19999992847,51,swing,1
56,1.14,10.4200000763,-8.23999977112,-2.1099998951,0.5,-0.659999966621,-1.19999992847,51,swing,1
57,1.16,8.55999946594,-7.67999982834,-1.30999994278,0.5,-0.659999966621,-1.19999992847,51,swing,1
58,1.18,7.69999980927,-7.60999965668,-1.79999995232,0.5,-0.659999966621,-1.19999992847,51,swing,1
59,1.2,7.11999988556,-7.73000001907,-2.30999994278,0.5,-0.659999966621,-1.19999992847,51,swing,1
60,1.22,6.92000007629,-8.05000019073,-2.84999990463,0.5,-0.659999966621,-1.19999992847,51,swing,1
61,1.24,5.85999965668,-8.97000026703,-3.21000003815,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
62,1.26,5.85999965668,-8.97000026703,-3.21000003815,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
63,1.28,5.28999996185,-9.5,-2.29999995232,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
64,1.3,4.81999969482,-10.1799993515,-1.73000001907,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
65,1.32,4.82999992371,-11.0999994278,-1.66999995708,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
66,1.34,4.82999992371,-11.0999994278,-1.66999995708,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
67,1.36,4.34999990463,-12.7100000381,-1.36000001431,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
68,1.38,4.34999990463,-12.7100000381,-1.36000001431,-0.42999997735,0.610000014305,-3.6899998188,30,swing,1
69,1.4,3.66999983788,-10.9899997711,-1.27999997139,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
70,1.42,4.53999996185,-8.78999996185,-1.87999999523,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
71,1.44,5.07999992371,-10.3800001144,-2.67999982834,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
72,1.46,4.65999984741,-11.5900001526,-2.87999987602,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
73,1.48,4.58999967575,-11.5599994659,-2.54999995232,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
74,1.5,5.77999973297,-10.25,-2.25,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
75,1.52,7.10999965668,-9.01000022888,-2.57999992371,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
76,1.54,8.13999938965,-9.22000026703,-3.49000000954,-0.0499999970198,-0.149999991059,-0.479999989271,30,swing,1
77,1.56,7.92999982834,-10.6499996185,-4.92000007629,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
78,1.58,7.92999982834,-10.6499996185,-4.92000007629,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
79,1.6,7.19000005722,-8.78999996185,-3.51999998093,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
80,1.62,6.46000003815,-6.98999977112,-2.59999990463,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
81,1.64,6.46000003815,-6.98999977112,-2.59999990463,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
82,1.66,4.94000005722,-4.5,-1.5,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
83,1.68,4.75,-5.02999973297,-1.94999992847,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
84,1.7,4.81999969482,-5.48999977112,-2.59999990463,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
85,1.72,4.96999979019,-6.11999988556,-3.32999992371,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
86,1.74,5.15000009537,-6.55999994278,-3.92999982834,1.05999994278,-0.729999959469,1.66999995708,30,swing,1
87,1.76,5.56999969482,-7.01999998093,-4.13999986649,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
88,1.78,5.56999969482,-7.01999998093,-4.13999986649,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
89,1.8,6.90999984741,-7.25,-4.02999973297,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
90,1.82,7.75999975204,-6.77999973297,-4.11000013351,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
91,1.84,8.9299993515,-6.56999969482,-4.44999980927,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
92,1.86,11.9299993515,-7.96999979019,-6.0499997139,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
93,1.88,13.1799993515,-8.32999992371,-6.5,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
94,1.9,13.6300001144,-7.78999996185,-5.88999986649,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
95,1.92,13.6300001144,-7.78999996185,-5.88999986649,0.879999995232,0.0499999970198,2.13999986649,30,swing,1
96,1.94,12.6399993896,-6.1299996376,-3.47000002861,-0.879999995232,0.550000011921,0.939999997616,30,swing,1
97,1.96,11.9399995804,-7.86999988556,-2.77999997139,-0.879999995232,0.550000011921,0.939999997616,30,swing,1
98,1.98,11.9399995804,-7.86999988556,-2.77999997139,-0.879999995232,0.550000011921,0.939999997616,30,swing,1
0,0.02,6.39999961853,-6.19999980927,-2.15999984741,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
1,0.04,5.90999984741,-7.11999988556,-2.54999995232,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
2,0.06,5.69000005722,-7.83999967575,-2.63999986649,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
3,0.08,5.69000005722,-7.83999967575,-2.63999986649,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
4,0.1,4.82999992371,-9.32999992371,-1.82999992371,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
5,0.12,4.82999992371,-9.32999992371,-1.82999992371,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
6,0.14,4.92000007629,-10.3699998856,-1.88999998569,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
7,0.16,4.77999973297,-11.5699996948,-2.00999999046,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
8,0.18,4.77999973297,-11.5699996948,-2.00999999046,-0.550000011921,-0.509999990463,-2.82999992371,53,swing,1
