time,gfx,gFy,gFz,wx,wy,wz,I,mode
0.92,0.7003631591796875,5.803863525390625,9.258682250976562,0.178863525390625,-0.752655029296875,-1.3653411865234375,102.878662109375,texting
0.9400000000000001,0.8944244384765625,5.9593963623046875,9.39959716796875,0.178863525390625,-0.752655029296875,-1.3653411865234375,102.878662109375,texting
0.96,0.4362640380859375,6.0579681396484375,10.409988403320312,0.178863525390625,-0.752655029296875,-1.3653411865234375,102.878662109375,texting
0.98,-0.2251129150390625,6.1116943359375,11.453826904296875,0.0404052734375,-0.15673828125,0.0826568603515625,62.9779052734375,texting
1,-0.3210601806640625,6.253997802734375,11.099273681640625,0.0404052734375,-0.15673828125,0.0826568603515625,62.9779052734375,texting
1.02,0.0245819091796875,6.549652099609375,9.836151123046875,0.0404052734375,-0.15673828125,0.0826568603515625,62.9779052734375,texting
1.04,0.01611328125,6.766204833984375,8.68927001953125,0.0404052734375,-0.15673828125,0.0826568603515625,62.9779052734375,texting
1.06,-0.22479248046875,6.553314208984375,9.286361694335938,0.0404052734375,-0.15673828125,0.0826568603515625,62.9779052734375,texting
1.08,1.02569580078125,5.5003509521484375,10.945281982421875,0.0404052734375,-0.15673828125,0.0826568603515625,32.072296142578125,texting
1.1,1.0681610107421875,5.508087158203125,9.16900634765625,0.0404052734375,-0.15673828125,0.0826568603515625,32.072296142578125,texting
1.12,0.4098052978515625,5.6344451904296875,7.6802520751953125,0.0404052734375,-0.15673828125,0.0826568603515625,32.072296142578125,texting
1.1400000000000001,-0.0876922607421875,5.5756683349609375,7.7596588134765625,0.0404052734375,-0.15673828125,0.0826568603515625,32.072296142578125,texting
1.16,0.42694091796875,4.436492919921875,9.228363037109375,0.554290771484375,-0.032684326171875,-0.614654541015625,30,texting
1.18,0.7040863037109375,3.50286865234375,7.3126983642578125,0.554290771484375,-0.032684326171875,-0.614654541015625,30,texting
1.2,0.5908050537109375,3.333526611328125,4.704620361328125,0.554290771484375,-0.032684326171875,-0.614654541015625,30,texting
1.22,0.48333740234375,3.4656982421875,4.0772705078125,0.554290771484375,-0.032684326171875,-0.614654541015625,30.930618286132812,texting
1.24,0.8373565673828125,3.722320556640625,5.3176422119140625,0.554290771484375,-0.032684326171875,-0.614654541015625,30.930618286132812,texting
1.26,0.8948516845703125,3.480194091796875,5.9953155517578125,0.4329681396484375,-0.1923065185546875,-0.136260986328125,30.930618286132812,texting
1.28,1.0200347900390625,3.901153564453125,6.2917022705078125,0.4329681396484375,-0.1923065185546875,-0.136260986328125,31,texting
1.3,0.751800537109375,4.247589111328125,6.7604827880859375,0.4329681396484375,-0.1923065185546875,-0.136260986328125,31,texting
1.32,-0.21197509765625,4.96771240234375,7.243804931640625,0.4329681396484375,-0.1923065185546875,-0.136260986328125,31,texting
1.34,0.125762939453125,5.1734466552734375,7.5675811767578125,0.4329681396484375,-0.1923065185546875,-0.136260986328125,32.859222412109375,texting
1.36,0.745269775390625,5.3964996337890625,7.9287567138671875,0.4329681396484375,-0.1923065185546875,-0.136260986328125,32.859222412109375,texting
1.3800000000000001,0.2949981689453125,5.950653076171875,9.269638061523438,-0.5364837646484375,-0.01214599609375,0.041351318359375,32.859222412109375,texting
1.4000000000000001,0.5191497802734375,5.1962890625,13.2757568359375,-0.5364837646484375,-0.01214599609375,0.041351318359375,43.22035217285156,texting
